ticker,time,timestamp,price,open,high,low,close,volume,vwap,Nasdaq_price,Nasdaq_volume
AAPL,2017-09-26T10:20:00,1506435600,152.685,152.6309,152.82,152.55,152.68,265381,152.68184,143.6275,458213
AAPL,2017-09-26T10:15:00,1506435300,152.70999999999998,152.76,152.82,152.6,152.6334,318653,152.7168,143.66000000000003,132991
AAPL,2017-09-26T10:10:00,1506435000,152.79475,152.66,152.95,152.6395,152.7608,511665,152.81622,143.69,191964
AAPL,2017-09-26T10:05:00,1506434700,152.53,152.33,152.77,152.29,152.6546,650418,152.54578,143.6255,484151
AAPL,2017-09-26T10:00:00,1506434400,152.26999999999998,152.1672,152.4,152.14,152.32,461140,152.26635,143.5525,436035
AAPL,2017-09-26T09:55:00,1506434100,152.19,152.17,152.34,152.04,152.16,508089,152.18911,143.45499999999998,475550
AAPL,2017-09-26T09:50:00,1506433800,152.39499999999998,152.5,152.73,152.06,152.175,671603,152.48542,143.57785,830548
AAPL,2017-09-26T09:45:00,1506433500,152.47570000000002,152.47,152.63,152.3214,152.48,585169,152.45785,143.64,526096
AAPL,2017-09-26T09:40:00,1506433200,152.515,152.62,152.77,152.26,152.49,844235,152.56829,143.7,803574
AAPL,2017-09-26T09:35:00,1506432900,152.495,152.38,152.62,152.37,152.62,852483,152.51325,143.6445,440782
AAPL,2017-09-26T09:30:00,1506432600,152.09,151.79,152.49,151.69,152.395,1641572,152.08553,143.54000000000002,962338
AAPL,2017-09-26T09:25:00,1506432300,151.88,151.86,151.94,151.82,151.85,20609,151.86922,143.525,54125
AAPL,2017-09-26T09:20:00,1506432000,151.805,151.76,151.86,151.75,151.81,12707,151.78238,143.485,13672
AAPL,2017-09-26T09:15:00,1506431700,151.775,151.75,151.8,151.75,151.78,23373,151.75623,143.47,9969
AAPL,2017-09-26T09:10:00,1506431400,151.775,151.8,151.8,151.75,151.78,12127,151.77702,143.51,33961
AAPL,2017-09-26T09:05:00,1506431100,151.79000000000002,151.77,151.81,151.77,151.78,1937,151.78239,143.55,20582
AAPL,2017-09-26T09:00:00,1506430800,151.81,151.85,151.87,151.75,151.8,13162,151.83174,143.55,18967
AAPL,2017-09-26T08:55:00,1506430500,151.83499999999998,151.8,151.91,151.76,151.9,12716,151.87409,143.475,23280
AAPL,2017-09-26T08:50:00,1506430200,151.845,151.93,151.93,151.76,151.8,19783,151.86042,143.47,42673
